Date,Close
7/1/2016,17949.36914
6/30/2016,17929.99023
6/29/2016,17694.67969
6/28/2016,17409.7207
6/27/2016,17140.24023
6/24/2016,17400.75
6/23/2016,18011.07031
6/22/2016,17780.83008
6/21/2016,17829.73047
6/20/2016,17804.86914
6/17/2016,17675.16016
6/16/2016,17733.09961
6/15/2016,17640.16992
6/14/2016,17674.82031
6/13/2016,17732.48047
6/10/2016,17865.33984
6/9/2016,17985.18945
6/8/2016,18005.05078
6/7/2016,17938.2793
6/6/2016,17920.33008
6/3/2016,17807.06055
6/2/2016,17838.56055
6/1/2016,17789.66992
5/31/2016,17787.19922
5/27/2016,17873.2207
5/26/2016,17828.28906
5/25/2016,17851.50977
5/24/2016,17706.05078
5/23/2016,17492.92969
5/20/2016,17500.93945
5/19/2016,17435.40039
5/18/2016,17526.61914
5/17/2016,17529.98047
5/16/2016,17710.71094
5/13/2016,17535.32031
5/12/2016,17720.5
5/11/2016,17711.11914
5/10/2016,17928.34961
5/9/2016,17705.91016
5/6/2016,17740.63086
5/5/2016,17660.71094
5/4/2016,17651.25977
5/3/2016,17750.91016
5/2/2016,17891.16016
4/29/2016,17773.64063
4/28/2016,17830.75977
4/27/2016,18041.55078
4/26/2016,17990.32031
4/25/2016,17977.24023
4/22/2016,18003.75
4/21/2016,17982.51953
4/20/2016,18096.26953
4/19/2016,18053.59961
4/18/2016,18004.16016
4/15/2016,17897.46094
4/14/2016,17926.42969
4/13/2016,17908.2793
4/12/2016,17721.25
4/11/2016,17556.41016
4/8/2016,17576.96094
4/7/2016,17541.96094
4/6/2016,17716.05078
4/5/2016,17603.32031
4/4/2016,17737
4/1/2016,17792.75
3/31/2016,17685.08984
3/30/2016,17716.66016
3/29/2016,17633.10938
3/28/2016,17535.39063
3/24/2016,17515.73047
3/23/2016,17502.58984
3/22/2016,17582.57031
3/21/2016,17623.86914
3/18/2016,17602.30078
3/17/2016,17481.49023
3/16/2016,17325.75977
3/15/2016,17251.5293
3/14/2016,17229.13086
3/11/2016,17213.31055
3/10/2016,16995.13086
3/9/2016,17000.35938
3/8/2016,16964.09961
3/7/2016,17073.94922
3/4/2016,17006.76953
3/3/2016,16943.90039
3/2/2016,16899.32031
3/1/2016,16865.08008
2/29/2016,16516.5
2/26/2016,16639.9707
2/25/2016,16697.28906
2/24/2016,16484.99023
2/23/2016,16431.7793
2/22/2016,16620.66016
2/19/2016,16391.99023
2/18/2016,16413.42969
2/17/2016,16453.83008
2/16/2016,16196.41016
2/12/2016,15973.83984
2/11/2016,15660.17969
2/10/2016,15914.74023
2/9/2016,16014.37988
2/8/2016,16027.04981
2/5/2016,16204.96973
2/4/2016,16416.58008
2/3/2016,16336.66016
2/2/2016,16153.54004
2/1/2016,16449.17969
1/29/2016,16466.30078
1/28/2016,16069.63965
1/27/2016,15944.45996
1/26/2016,16167.23047
1/25/2016,15885.21973
1/22/2016,16093.50977
1/21/2016,15882.67969
1/20/2016,15766.74023
1/19/2016,16016.01953
1/15/2016,15988.08008
1/14/2016,16379.04981
1/13/2016,16151.41016
1/12/2016,16516.2207
1/11/2016,16398.57031
1/8/2016,16346.4502
1/7/2016,16514.09961
1/6/2016,16906.50977
1/5/2016,17158.66016
1/4/2016,17148.93945
12/31/2015,17425.0293
12/30/2015,17603.86914
12/29/2015,17720.98047
12/28/2015,17528.26953
12/24/2015,17552.16992
12/23/2015,17602.60938
12/22/2015,17417.26953
12/21/2015,17251.61914
12/18/2015,17128.55078
12/17/2015,17495.83984
12/16/2015,17749.08984
12/15/2015,17524.91016
12/14/2015,17368.5
12/11/2015,17265.21094
12/10/2015,17574.75
12/9/2015,17492.30078
